post_id,text,disease,label
78308619,Bruv nairaland is not the best place to seek counsel on issues like this. Peeps here will expedite your heart attack bro,heart attack,1
100285876,You no even dey shame. See the quality of weytin you dey smoke. Better no give yourself cancer for nothing. This kind weed fit give person stroke.,stroke,1
29761876,"<user> Heart disease is the number 1 Worldwide. In Developing countries like Nigeria. Malaria, HIV/AIDS, Diarrhea disease are most common and they are not worldwide leading causes of death. Thanks for your input.",malaria,1
54938444,Typhoid is a bacteria that is treated with antibiotics. So treated malaria and typhoid gives you a mixture of malaria and antibiotic medicines. This shows that it is safe. But considered so many things before you buy. Meet a pharmacist so that you do not end up get resistance.,malaria,1
77654186,No bro the fact is black people have natural anti bodies that combat malaria thats why you see random cases of malaria with very and rare cases resulting to death.,malaria,1
15128639,December 2012 for typhoid malaria.,malaria,1
38882891,"This Is hmmmm true coz I lost my Dad on a monday, died of heart attack.",heart attack,0
100265837,You're a good liar. So that is the pattern of movement for someone tripping on their clothe? That man behaves like someone almost having a heart attack and you called that tripping on clothe. Issokay... I pray God heals him. But don't lie shamelessly.,heart attack,1
78687551,Please only a doctor can prescribe malaria drugs for you at this stage. First trimester is a very delicate stage. Some drugs can cause harm to your baby,malaria,1
302879,great and that was a wonderful attack on John ! i hope the guy wont die from heart attack !Nice joke,heart attack,2
48752043,"have you been infected with HIV? What ur saying is akin to describing chills(which is just a part of the malaria complex) as worse than malaria . HPV is an AIDS defining illness. Why am I even wasting my time, I'm talking to a lay man",malaria,1
49593346,She's gonna prove to you too how hot guys are giving her signs. Let's see who will have the heart attack between you too.,heart attack,1
67460548,"Instead of this unending episode, you should have just write the name of the traditional malaria medicine.",malaria,1
90876313,"Are they as contagious as covid? Lord knows if its infection was similar to that of malaria and fever, the world would have calmed down by now",malaria,1
9484631,Rake said that? So was it malaria/typhiod?,malaria,1
38329016,The private hospital my husband picked for the insurance scheme said that they cover only malaria. So we are confused about the whole thing,malaria,1
94556082,"LOL <user> shouldn't have brought your ordeal here, son. Bringing your problems here is an elixir for heart attack.",heart attack,1
5397307,"Dr. Tom, this recommendation is it suitable for pregnant women that has malaria?",malaria,1
89475827,Another malaria patience you mean,malaria,1
6558839,"Anyway , you kept your age from us, but this cud be a warning sign of stroke . contact a physician before it is late.",stroke,0
99648781,"For two weeks now, I have been experiencing severe fatigue. I went to two hospitals and series of test were ran. I was diagnosed with malaria parasite, and placed on medication.Each night, I find it difficult to sleep because of the severity of the fatigue. During the day, the fatigue is minimal.",malaria,0
15335601,"Hello all, i ve not being updating, A̶̲̥̅♏ so sorry abt dat, i was down wit malaria but A̶̲̥̅♏ much beta nowUpdate Breakfast: nutrend, eggLunch: rice ǻn̶̲̥̅̊ԃ beans Veggie ǻn̶̲̥̅̊ԃ fruits : garden egg leaves, tigernut,mango",malaria,0
102782687,"Stop making excuses for promiscuous girls, which kind heart attack? You all sound like her pimpp.",heart attack,2
69094992,the problem is not God nor religion but you.... do you expect God to come hold your hand whenever you want to maturbate or He should give you stroke so your arms become useless against the act?Acquire knowledge and learn to discipline yourself. its like stealing and blaming God (or even the devil)...,stroke,2
52567283,"A lot of factors may be responsible. the best way to.be sure is trough a medical test at Med Lab. Not drinking enough water, malaria, typhoid, renal issues etc could be responsible. U need to visit hospital to be certain",malaria,1
70694874,Lol.Buhari go get heart attack die ooo First it was lifeless and now home of the poorest? Haba naa Make una take it easy oo,heart attack,2
28126354,"Abeg who get malaria tablet here Na the Japan game I say I win....look that tip well, no be combo. One Lost; the other Won.",malaria,1
49951549,"Please my grandmother has partial stroke, what herbs do you suggest?",stroke,0
52639569,<user> Wishing you safe delivery in Jesus name I also took the anti malaria Drugs last week and it was not even fansidar but I can tell you I haven't felt so sick since I got pregnant after I took it,malaria,0
175024,Just to add here that a sickle cell carrier will still suffer from Malaria but the effects will be mild because the parasites only infect the healthy red blood cells and not the sickled shaped cells,malaria,1
57867021,At the stroke of time. Wehdone Sir.,stroke,2
63795164,"These are not prescriptions for malaria or typhoid. Its for ulcer. We can't say for certain if the injections you received are for the malaria or typhoid. The test results would have also been helpful. If there is no improvement on your brother, you may want to consider seeking medical attention elsewhere.",malaria,1
63751213,Are you wandering what cerebral malaria is? Learn more about cerebral malaria now on NATURAL REMEDY LAB. It is deadlier than you think.,malaria,1
44922468,U can try using supplements like swissgarde products.their products helped my father in law with his stroke and we have heard countless testimonies about them.,stroke,0
108792921,Sure u have treated ur self from malaria and hepatitis,hepatitis,0
93805803,"Forgive her for your kids sake. But take her for HIV, hepatitis and std tests.",hepatitis,1
87781501,"What we have in Nigeria are audio coronavirus, someone with headache, malaria,fever, typhoid will be claiming Corona.Ladies and gentlemen,men and women, people of Nigeria coronavirus in Nigeria is a scam and has no place in the typical African man body system.",malaria,1
28153498,u r sick nd u will with heart attack cos Apc will win hands down,heart attack,2
2742987,"HAHAHAHA! MALARIA! Clem, give it to him",malaria,1
66618328,"Same thing almost happened to my brother in law..also a Barrister,guy was hypertensive and never bothered with his drugs for over 5 months,waiting on God for some miracle..got some minor stroke with inability to even articulate his name..",stroke,0
531048,"very true, u shud be more concerned about hepatitis. the virus live way longer than the HIV virus.",hepatitis,1
29939753,".. I agree wiv u 101%... A lot of people are guilty of this... They tell u they experienced dis signs b4 and when they took malaria drugs, they became ok... They are scared of visiting labs for test...",malaria,1
56254835,True for now. All that would change if he by some stroke of luck becomes president before 2019,stroke,2
106343918,"Start with your finger, then make it two, gradually she will get wide as you stroke the g spot. Then , you can now insert your dick.As time goes on, her vjay will get familiar and be able to accommodate your dick",stroke,2
77123104,Ewedu has been known to cure many diseases including HIV cancer tuberculosis elephantiasis and so onIts just that white ppl are jealous of YorubasLalasticlala,tuberculosis,1
73123517,1. Location - Nwaniba Area in Uyo.2. Primary Health Care centre to cater for usual regular ailments like malaria and all.3. We will hire a doctor who can double as an administrator.4. Medical cases that a primary health centre can handle.Are these answers good enough for you?4.,malaria,1
35565058,Thank God my grandma is around. Would tell her to prepare the concoction for me. I've noticed she hardly catches malaria although she fears falling ill from mosquito bites. Its possible her strong immune response is from the bitter leaf concoction.,malaria,1
61867772,iiaatmgirlI treated malaria in my first trimester and I'm doing fine.Doctor said it was better to treat it than leaving it unattended to.,malaria,0
38980320,"70% wealth sharing indeed, customized thunder and stroke is the best gift for such gold diggers. After all men have been succeeding without men's supposed help. Àwón omo alé jatijati.",stroke,2
15298740,see the way the thing is pulling his skin down...chai mosquitoes BAD OH...and i tot its only malaria dey good <user> our african mosquitoes cause this too...or is it a specific type?,malaria,1
7158444,"dont worry hes not a deadbeat like u ,we can hold a relationship , we fight quarell , fuccck d hell out of each oda still hin manlinesss still dey intact , i dont bite i stroke gently and carefull cus i insured dat shittt, so dont b jealous dumboooo",stroke,2
41871030,Ur fellow what? Come mr. Man' don't provoke me oh.... Wat have u been able to develop? Even the malaria drugs u sell u still make mistakes.Last time i check almost all the hospital in my area close up when they hear ebola.,malaria,1
103937235,"This story is too good to be true. They are rich, kids in Canada, they are young too. The man had a stroke and she had the chance to play this game. I don't buy it!",stroke,0
42496921,"Sounds like Nduka to me. When malaria dey fear we Nigerians e come be Nduka virus, him papa there",malaria,2
11268109,inevitable as AS have more resistance to malaria if my memory serves,malaria,1
90522303,"Scamdemic..... ¼ of the cases were forcefully diagnosed with Covid-19, ½ of the cases are Malaria and Typhoid cases, just few are covid-19 cases (asymptomatic patients) Only very few had the virus, and it's not as deadly as the world has painted it to be",malaria,1
34651201,drink aloe vera gel its great for malaria prevention am a testimony to it.,malaria,1
105564004,"The dude you're replying hit his head on a hard surface as a kid, been suffering from bouts of brain stroke ever since....all what you're saying isn't getting processed by him.",stroke,2
51165066,Exactly. I was only responding to that person who quoted you. This approach won't go anywhere in solving the current economic challenge. It's like taking panadol to cure malaria.,malaria,1
16383609,"Exactly, infact i attended a course some weeks back for officers where the use of Sulphadoxine-Pyrimethamine in treating malaria in pregnant women was reiterated. Nairaland should verify stories before posting and stop quoting Nigeria Newspapers with their JUNK journalism.",malaria,1
84721649,"Oga not everyone is like us, let's learn from good examples n bad ones.Orange Revolution of Ukraine was movements that lasted for 2 months n 1 day. with a large crowd yet only one person died n not killed by police but heart attack.Buhari didn't handle this well trust me",heart attack,0
79783579,I bet as at this moment many are already struck down with Thyphoid or Malaria... Especially in this rainy-Season!Your Solution is just a phone-call away.. Okay!..,malaria,1
6045286,"Im AA, A+. I get malaria wenever i expose myself 2 mosquitoes.",malaria,0
84295025,"Mama, if you are comfortable with the hospital, complete your dose. It's better to complete it. Malaria is dangerous to be left half treated.",malaria,1
28352492,I am AA the frequency of malaria is very much. Does anybody knows any prophylatic i can take to control the malaria,malaria,0
87365433,"This is very serious,but i have this feeling that malaria which is prevalent in Nigeria and Africa and which has the same symptoms as covid19 has already ""immunized"" us against covid19 hence the low infection rate in this parts.I may be wrong though.",malaria,1
97792515,No its not malaria drugs.,malaria,1
91088004,"Most people here recover without taking drugs. It's overhyped. Malaria and other sicknesses kill more, why haven't we locked down",malaria,1
87399616,I'm pretty sure there are Nigerians who have this virus walking freely...They may have the symptoms but they would be treating it as a Normal fever or malaria due to ignorance.....,malaria,1
48508880,maybe you should do an mp test first. I was having those Malaria like symptoms and Dr said twas part of d package. the mp test result came out negative too,malaria,0
73604997,I took him to the health center and Fbc and Malaria test was done for him. His Wbc is 9300 pcv 36%. Malaria parasite seen. We were given Amoksiklav and and broncholyte. Thank you ma.,malaria,0
60140081,"You tried bro..Despite the loss, it was a master stroke..Keep it up",stroke,2
84381363,"Kindly get consultation on what next to do from Consultant(s) on Geriatrics as I don't interfere with oldies especially on stroke cases... Some of the notable clinic centres are based in UI teaching hospital, UPTH, ULTH etc. Kindly explore any.",stroke,1
102212703,"So when you are sick of Malaria, what do you do?",malaria,1
46184062,Continue with your malaria dream!! It is easier for Leceister to win the next champions league than for an EFCC official to come 1000m close to GEJ,malaria,2
45288092,"In my recent research it was made know that overweight people or obese have high tendency to have asthma. It was also establish in a news from health pertitionals that diabetes, overweight and fat in the blood causes stroke, therefore all this need to be attend to in time. For more inform, contact me",stroke,1
104111028,"Baboons and monkeys from the ZOO called Nigeria running away from their kangaroo court.That's what happens when you are a failure.Zombies should Agitate that Nigeria government should sentence kanu to death fast,because Kanu will still be giving them heart attack from detention.",heart attack,1
92487878,"I just treated malaria last month and now, I have it again. I've bought a mosquito net now but is there anyway I can stop falling sick very often?? I've taken drugs too many times this year alone. Any natural remedies to prevent malaria and boost immunity? Thank you",malaria,0
8849436,"Knowledge is power.many aids patients have committed suicide which is uncall for.d truth is viral illnesses like ebola,lassa,hepatitis,and hiv are still mysterious to doctors.media proganda overates them.i ve got 3 materials on hiv and may be helpful.see d download links.",hepatitis,1
88786985,All i am saying is most of these people dont have the virus. Na malaria them get,malaria,1
77796969,"Educative write -up. Once suffered stress-induced burn-out which actually had illness symptoms, some of which was enumerated in the post. Not all malaria are really it. It may just be stress.",malaria,1
56784939,"Go check malaria,typhoid fever/Hiv status..Stress is one of the cause.drink blood tonic won't make u fat.Go see ur DR.Dnt wait for dem Rats melicine seller doc here with their mixture",malaria,1
105976061,"How about people slump and sir on the streets as it was reported earlier in China or on social media.If I have malaria right now, how am I sure I won't be branded Covid.",malaria,1
46277164,"Premium Times, Hmmmmh. No report on my ill health? even when I ve been down with malaria and cold. Thank God I am better now, PMB pls get well soon.",malaria,0
59505350,"Persistent hypertension is one of the risk factor for stroke, heart attack, heart failure and also chronic renal failure. Hypertension is usually symptomless but may cause headaches and visual disturbance.",stroke,1
61039900,"This was me 3 months ago. It was exhausting Sorry dear I know exactly how you feel. Perhaps you should take her back to the hospital When my son had sepsis/malaria/pneumonia, he was placed on admission for 4 days.",malaria,0
105324986,"This will enable NATIVE DOCTORS & PASTORS take over completely and possibly co manage Nigerian patients. They need such, after all they always call Nigerian Doctors, MALARIA Doctors. A useless country doesn't deserve such humans",malaria,1
976164,"considering the fact that malaria is the biggest killer in Africa (one million yearly, i heard) i'd have expected peeps to be excited about this news, not making snide comments.can u explain to me just how you'd go about killing ALL female Anopheles mosquitoes in Africa?",malaria,1
63166224,"signs of stroke...let her see a good doctor..run an ecg test, lipid profile test and bp",stroke,1
89267558,There is malaria vaccine but not popular in naija.,malaria,1
45314618,stupid dream is one of danger signs of malaria,malaria,2
1284912,"how long have u bn exp. this?Is ur job hectic?Do u have fever,headache,poor appetite or oda symptoms?Are u a BP patient?Ur problem may just be mild malaria.U need to see ur Dr for a check,ok!",malaria,1
105017107,"If you have Malaria/Typhoid and you run a Covid test, it will come out positive. Try it & see.",malaria,1
20327227,"i repeat, don't allow that warri boy to have heart attack",heart attack,2
14894197,And what happenscwhen you hate us? Careful hatred is a b1tch might jusk kill u with heart attack.,heart attack,2
78266945,"that master stroke is the reason nigeria is a shithole.it would have been better we disintegrated, atleast this hatred of igbo and yoruba wouldnt have existed. one of the regions would have developed into a modern country u people should support us to get biafra so that we will leave lagos and there will be peace",stroke,2
34230657,If the position nor easy why him dey go for 2nd term before? why him wife wan get heart attack before her husband loose? na who send am? is he the first president we ever had in this country?Looters be like......,heart attack,2
36047962,Kindly list some drugs that can cure malaria,malaria,1
94552698,It won't be stroke lagbara olorun,stroke,0
44762996,[quote author=cutienik post=44762732][/quote]Thank you very mch. We were given malaria drugs too because of very high temp. She is normal but for the mumps.,malaria,0
42332435,"They must find a way to rope Africa in. This looks more deadly than malaria, hopefully a cure or a vaccine is found.",malaria,1
57257066,Hello mamasI have just been diagnosed with malaria. What do I use to treat malaria. Bearing in mind that I am in my fertile window and I feel really sick. Help plsss.This month is my month and no malaria will hold me down,malaria,0
92808357,So make them no treat malaria again,malaria,1
41212434,.... <user> Zaynie is d anti malaria drugs compulsory even if one doesn't seem to show any symptoms of malaria,malaria,1
95698522,"Waow, Confirm drugs for malaria/typhoid It is finished.",malaria,1
70173554,go ahead an impeach him na... you better calm down ooO make heart attack no visit you oo,heart attack,2
91146449,Hyperbaric oxygen can help stroke patients.,stroke,1
59524014,All Nigerians are at risk for malaria. Dr Leonard,malaria,1
25817820,"heart attack looming for some people... but to add salt to injury, massive oil in Ogun state awaiting full scale exploration soonest, ondo already an oil producing state, Gold in Ibadan awaiting excavation... make i pause for here... i no fit SHOUT Joooooooooooor.... O'dua a gbe wa oooooooooo................................................................",heart attack,2
87730982,Bro go treat typhoid and malaria joor,malaria,1
45236495,"Ironically, AS sickle shaped blood cells are better suited to resist malaria than AA. That explains your rarity in falling sick, when you consider close to 50% of the time when people fall sick in Nigeria, it is caused by malaria parasites.",malaria,1
105236530,Experiencing same.. Can't perceive my perfume nor smell anything for some days cz my nose is blocked though i just recently treated malaria and typhoid. I've been taking CONTAC with white vitamin c but no improvement. It's Scarry! I'm on nose mask/giving people space at home cz i nor give anybody.,malaria,0
89683079,I just dey ENJOY the way LAGOS Malaria covid suspected patients dey RISE LAGOS STATE will be LOCKEDOWN today MAY 18 by MAJ. GEN. M BuhariIgnorance will KILL MORE PEOPLE than COVID or HUNGRY,malaria,0
12778240,"Please, I have had this arguement with someone else on another thread. You can read my story in this thread, and I beg you do not mis-inform the public. Malaria attack if not handled well, will result to the death of a SCD person.",malaria,1
37356712,Went to the hospital today and was told degenerative fibroid was seen during the scan hence the severe pain. I was given co-codamol and ventolin to use alongside amatem for malaria. Experienced mamas...nurse kaffy...anyone had this before? Hope there isn't any side effects using this drugs.,malaria,0
36838136,When was the last time you treated malaria? Consider going for a thorough treatment ASAP.,malaria,1
89675330,"God epp usI'm down too with malaria but I dey fear go hospital, make them no go use me count Corona patients",malaria,0
99095789,He deserves to have heart attack. Thank God he lost the election,heart attack,2
58695732,Heart attack for dem brown teeth Mention anything Kanu and they won't sleep for days,heart attack,2
90796416,finally somebody with high iq... coronavirus patients are mixed heavily with malaria and other diseases patients that i am very certain of. the other diseases they are including is what is raising the figures so high. nigeria's coronavirus case is not severe. that is the point that these foolish people dont understand,malaria,1
16172681,"Almost Had a Heart Attack, Thought it was the Neka Twins",heart attack,2
15599533,Sunderland almost gimmie heart attack I put on dem draw no bet,heart attack,2
9828547,"Doctors in d house help oooo,I took anti malaria and I'm experiencing a serious itching on my d.ik.it seems as if d face cap wana fall off.the name of d drug is maldox(sulfadoxine and pyrimethamine)",malaria,0
61141993,Sleeping inside a treated mosquito net is the best way to protect yourself from malaria. A Malaria-Free Nigeria. Play Your Part!,malaria,1
10107191,"mushroom bar indeed.This thread na heart attack, my brother. SMH",heart attack,2
55220819,MALARIA-HIV-EBOLA-LASSA FEVER-MENINGITIS- diseases being killing Africans since 19....,malaria,1
12028336,"my friend who is parasite in Nigeria? Lagos is being develop with oil money,PLUS, IGBO,HAUSA,N.DELTA.ALL INCLUDED. and Lagos is not an oil producing state so who is parasite?better go and find a rope and hang yourself,if not, heart attack will set in...",heart attack,2
9594561,"Effect on joystick: NoneEffect on performance: NoneEffect on fertility: NoneRisks involved: NoneUnprotected inter.course is fraught with so much risk since Nigeria is HIV, Hepatitis B virus and other STD endemic area.",hepatitis,1
91192172,"COVID 19 IS REAL, BUT MALARIA HAS KILLED MORE PEOPLE EVEN IN THE PEAK OF THIS PANDEMIC. Fix all Healthcare centres not this temporary Isolation centres.",malaria,1
18229306,"Almighty and Ever Living Father, thank you! So beer clears all man's worst enemies like stroke &cancer, also builds strong hearts, etcWoow! What more can I say than... Thank you Lord!#TeamOneBottleADayKeepsStressLow #ICantShoutAbeg",stroke,1
75961028,"Poor kid, you could have possibly given your Dad a heart attack then before you realized your mistake, it would have been too late to reverse",heart attack,1
37029513,that 13 for me because e be like wetin heart attack wan follow no peace for the wicked,heart attack,1
15113579,pls i need to talk to a dermatologist. am having drug rash due to intake of a malaria drug(SWIDAR).pls what am i going to do.,malaria,0
98314271,"1,964 Malaria patients they mean to say",malaria,1
47627663,U re healed dear. Pls check wit ur doc 2 knw if u ve malaria. Pele iyaibeji!,malaria,1
31925808,"This is no prophecy, I know since 2011 that Jona will win Mr prophet so u came late we need prophesy like amechi got heart attack, tinubu ran mad, Rochas in prison etc",heart attack,2
16927356,"You guys are really warriors, may you always find the strength to keep fighting. pls I have a question, if I go for blood donation and they find malaria parasite in my blood, does that mean the blood is a waste or do they do some kind of purification on it.",malaria,1
75934125,"No need for surgery, our products double stem cell is a therapy can cure many diseases such as leukaemia Alzheimer infertility hypertension Perkinson fabroid stroke diabetes, cancers eye problems(cataract & glaucoma, sickle cell,etc",stroke,1
58846676,Chai Nigeria here we come. 20th Century we dont have malaria drugs,malaria,1
51881502,No give person heart attack joorr..Chai thank God I never signup my mumsy...She'll be like...Ewo ni pause mode bayi o...owo odun lama gbesi mmm.I'll be like mummy e calm down.she be like oti pami.....kila fe se bayi,heart attack,2
76876606,"17ke?Mba nu, see a real doctor, they will run tests and give medication that is appropriate. Generally for infant malaria sef they give dispersible tablets for you to dissolve in 5ml of water. 1 tablet in the morning, 1 ant night for 3 days",malaria,1
8901618,"it funny, but the truth is very hard to accept, which is the reason y am now challenging the DOCTORS in these forum to make there own research and later tell us the result. have also tried it n it works with just 3days dirty socks to cure my sister Malaria",malaria,0
32930058,No more heart attack,heart attack,1
4229956,"I hear a combo of Artesunate and is wot works these days.Is the grape fruit therapy really true, that would be swell as am prone to malaria as my genotype/blood is A+ / AAQuestion: IS AA/A+ more susceptible to malaria",malaria,1
322756,Prevention is better than cure so we should keep ourselves away from Mosquitos!Pregnant women and children are prone to Malaria as compared to others!The tropics are hot and allow breeding of this female anopheles mosquito which inject us the merozoites!Having antimalarials at least once in every six months can help,malaria,1
81539122,Hello. please what are the effects of taking antimalaria drugs when i dont have malaria?,malaria,1
87591329,"Children are coming home, schools are closed. You don’t need malaria, cough, cold, catarrh or anything that resembles them. You also don’t want to self medicate on antimalarial. Rida Range helps you boost your immunity and fortify your family naturally.",malaria,1
19715662,"She is most likely using honey to make malaria syrup for children. She is simply in the honey business but then she is going a step further to make a product out of honey. Imagine you grow cocoa, you may also decide to go into chocolate production.",malaria,1
1789494,of Malaria of the brain,malaria,2
